"","Location_skey","ChargePoint_skey","def_ampere"
"318",227,5308,16
"319",227,5906,16
"320",228,4817,16
"321",229,3615,16
"322",230,1724,16
"323",231,120,16
"324",231,665,16
"325",232,152,16
"326",233,4132,16
"327",234,647,16
"328",234,796,16
"329",236,4647,16
"330",237,3794,20
"331",238,283,16
"332",239,3659,16
"333",240,3708,16
"334",241,933,16
"335",242,1682,16
"336",243,3461,16
"337",244,3140,16
"338",245,3850,16
"339",246,1524,16
"340",247,4104,16
"341",248,193,16
"342",249,606,16
"343",249,850,16
"344",250,4799,32
"345",251,3574,16
"346",251,5128,16
"347",252,3907,16
"348",253,3059,16
"349",254,4020,16
"350",255,2016,16
"351",257,1769,16
"352",258,2279,16
"353",259,4091,20
"354",260,2740,16
"355",261,5099,20
"356",262,2914,16
"357",263,1918,16
"358",264,3754,20
"359",265,2002,16
"360",266,677,16
"361",266,823,16
"362",267,776,16
"363",267,889,16
"364",268,660,16
"365",268,679,16
"366",268,816,16
"367",269,727,16
"368",269,891,16
"369",270,3603,16
"370",271,3848,16
"371",272,2256,16
"372",273,5228,16
"373",274,1814,16
"374",275,2828,16
"375",275,14173,13
"376",276,3250,16
"377",278,2458,16
"378",279,5233,16
"379",280,1664,16
"380",281,1363,16
"381",281,6132,16
"382",282,3104,16
"383",283,3408,20
"384",284,241,16
"385",285,2532,20
"386",286,4001,16
"387",287,3898,16
"388",288,4257,16
"389",288,4258,16
"390",288,4259,16
"391",288,4260,16
"392",288,4261,16
"393",289,3307,20
"394",290,261,16
"395",290,575,16
"396",291,3337,32
"397",292,2468,16
"398",293,3374,20
"399",294,3773,20
"400",295,2375,16
"401",296,3100,16
"402",297,1649,16
"403",298,4385,16
"404",298,6266,16
"405",299,764,16
"406",299,908,16
"407",301,4128,20
"408",302,3447,20
"409",303,4577,16
"410",305,1790,16
"411",306,4705,16
"412",307,4605,16
"413",308,2501,16
"414",309,3012,16
"415",310,3655,16
"416",311,2981,16
"417",312,3306,16
"418",312,3316,20
"419",313,1855,16
"420",314,3271,20
"421",315,780,16
"422",316,3596,16
"423",317,4381,16
"424",317,6251,16
"425",318,4146,16
"426",319,2393,16
"427",320,3070,16
"428",321,1753,16
"429",322,3369,16
"430",323,3352,20
"431",324,4842,16
"432",325,14459,16
"433",326,3532,16
"434",327,1488,16
"435",327,6229,16
"436",328,373,16
"437",328,1059,16
"438",329,3468,16
"439",330,2881,16
"440",331,5293,16
"441",332,5082,16
"442",332,5951,16
"443",333,594,16
"444",333,794,16
"445",334,4841,20
"446",335,3861,20
"447",336,133,16
"448",337,3638,16
"449",338,1007,16
"450",338,6111,13
"451",339,4679,32
"452",340,2508,16
"453",341,621,16
"454",341,841,13
"455",342,3451,16
"456",343,4858,16
"457",344,1483,16
"458",344,6141,13
"459",345,3744,20
"460",346,627,16
"461",346,895,16
"462",348,3440,16
"463",349,5244,16
"464",349,5847,16
"465",350,4558,16
"466",351,3953,16
"467",352,3999,16
